date,temp_2m,dewpoint_2m,surface_pressure,wind_u,wind_v,water_vapour,relative_humidity,wind_speed,precipitation
1990-05-23,17.795532,8.529205,884.46564,-2.6018448,-0.048194885,14.89371,54.612392,2.602291,0.0
1990-05-24,17.331818,12.209595,887.36487,-4.0194016,1.0954514,20.585747,71.88188,4.1660056,1.813
1990-05-25,16.294952,12.21051,886.58673,-2.8368874,0.4514389,19.704285,76.77362,2.872582,1.454
1990-05-26,16.38739,10.613861,885.6987,-1.9411125,0.4470482,17.043154,68.67194,1.9919262,0.502
1990-05-27,16.097809,10.986542,885.8077,-2.9678078,-0.27661896,17.354544,71.70553,2.9806714,0.516
1990-05-28,15.828735,9.97934,885.78296,-2.8897057,-0.4810562,15.273168,68.2122,2.9294734,0.242
1990-05-29,15.975555,8.58255,885.4366,-1.8968353,-0.6381035,14.894892,61.513947,2.0012896,0.0
1990-05-30,16.882568,9.115387,884.8773,-1.2634277,0.7164421,16.635387,60.191284,1.4524251,0.03
1990-05-31,16.024353,9.651337,885.3961,-2.0789986,1.109726,18.307503,65.90096,2.3566346,0.788
1990-06-01,15.869568,8.355072,886.4911,-2.838005,0.6418648,15.42028,60.9851,2.9096844,0.172
1990-06-02,14.52298,7.016266,885.3053,-2.6909294,0.18764877,12.955889,60.697353,2.6974642,0.012
1990-06-03,14.568298,7.7568665,883.45013,-1.5219688,-0.9982166,15.470757,63.660248,1.8201169,0.155
1990-06-04,17.255524,10.562927,882.85547,-1.0061188,-1.4698837,17.310526,64.7724,1.7812448,0.047
1990-06-05,17.293152,11.214447,883.8833,-1.7062225,-0.23160553,17.26656,67.476746,1.7218701,0.042
1990-06-06,18.46402,10.39917,885.21936,-2.2184753,-0.15112686,16.402885,59.377434,2.2236168,0.035
1990-06-07,17.045685,10.638397,886.23346,-2.5923805,-0.26882935,18.721565,65.968796,2.606282,0.01
1990-06-08,16.982422,9.971252,886.22485,-2.5055695,0.050354004,17.811804,63.3493,2.5060754,0.364
1990-06-09,16.829865,8.950653,885.9417,-2.0491104,0.61647797,16.927114,59.725822,2.139836,0.362
1990-06-10,17.072662,10.675751,885.29205,-1.1624908,0.17375565,19.42028,66.02014,1.1754047,1.36
1990-06-11,16.540192,9.399567,885.59216,-0.9933777,0.5212364,15.895344,62.70168,1.121823,0.05
1990-06-12,15.830841,7.2591248,887.15735,-2.8332214,1.3840485,14.749295,56.741035,3.1532102,0.0
1990-06-13,14.760162,8.402008,887.97797,-3.6321716,0.83688354,16.084333,65.69403,3.7273374,0.667
1990-06-14,14.020721,8.996704,886.84937,-3.2859268,-0.14271164,16.372719,71.73664,3.2890244,1.846
